Event,Hit,KE_i,KE_e
1,1,4.79562,3.93626
2,0,3.42824,0
3,0,0,0
4,0,0.468965,0
5,1,5.80199,5.80199
6,0,1.95496,0
7,1,6.07468,7.4588e-08
8,0,0,0
9,0,4.44526,0
10,0,3.25129,0
11,1,2.25053,4.35126e-06
12,1,4.53111,6.14129e-08
13,0,4.57706,0
14,1,2.13497,1.75115e-08
15,1,3.27915,4.97289e-05
16,1,4.90631,2.44302
17,0,1.45526,0
18,1,3.77131,1.17351e-08
19,1,6.53378,2.20526e-06
20,1,7.25485,7.25485
21,0,0.674975,0
22,1,3.72025,6.45218e-09
23,1,4.95384,0.533289
24,1,2.7375,2.24199
25,0,3.26073,0
26,1,4.10964,0.0653784
27,0,1.82338,0
28,1,5.88247,3.68401
29,1,4.84307,0.0598583
30,0,0,0
31,1,9.06632,9.06632
32,0,8.86182,0
33,0,1.44354,0
34,0,0.535504,0
35,0,1.42862,0
36,1,6.22512,6.22512
37,0,1.21237,0
38,1,2.92239,0.278094
39,0,2.2877,0
40,1,4.27323,0.505114
41,0,6.28498,0
42,0,2.17447,0
43,0,2.44423,0
44,0,0.717127,0
45,0,5.03731,0
46,1,2.38046,4.72776e-08
47,1,6.81868,0.725288
48,0,5.16459,0
49,1,2.66073,6.21585e-08
50,0,5.67574,0
51,1,4.77939,0.192927
52,0,1.98612,0
53,1,4.71822,0.325522
54,0,1.06545,0
55,0,4.39441,0
56,0,2.52461,0
57,0,7.55082,0
58,1,5.0183,5.0183
59,0,0.524763,0
60,1,5.5031,0.625659
61,0,0.813961,0
62,0,0.357272,0
63,0,8.1328,0
64,1,6.7374,6.50288
65,1,5.90409,3.75132e-08
66,1,4.47768,0.0464192
67,0,4.44827,0
68,0,0,0
69,1,3.10528,4.03327e-08
70,1,4.66485,3.41948e-08
71,0,3.79955,0
72,1,2.62021,5.57193e-08
73,1,2.76594,1.27354
74,1,4.30727,3.69409
75,1,4.49579,2.90515e-08
76,1,4.98438,4.98438
77,1,4.03939,1.95207
78,1,4.97322,4.25157e-08
79,0,2.33143,0
80,1,3.33286,3.03102e-08
81,1,0.953649,5.1635e-08
82,1,5.47158,5.34207
83,1,5.8917,5.8917
84,1,2.65412,1.63471e-08
85,1,3.03476,8.68687e-05
86,1,1.24608,1.22333e-08
87,1,8.76437,7.32629e-08
88,0,2.03724,0
89,1,4.82708,4.76735
90,1,6.67576,1.42955
91,0,3.38888,0
92,0,0.212373,0
93,1,3.76668,1.53141
94,1,7.07713,6.52748
95,0,0.351828,0
96,0,6.79772,0
97,1,4.2935,6.86173e-08
98,1,5.632,3.2624
99,0,3.75155,0
100,1,4.57549,4.18037
101,0,3.9197,0
102,1,3.19719,1.26104
103,1,1.73246,7.38792e-08
104,1,0.987064,4.38637e-08
105,0,4.55842,0
106,0,4.52795,0
107,0,0,0
108,0,7.53708,0
109,0,6.18844,0
110,0,4.0517,0
111,1,6.4927,7.64374e-07
112,1,6.97326,8.34947e-08
113,1,2.30236,6.29771e-08
114,0,4.39832,0
115,1,3.42105,0.00499319
116,1,4.53624,7.17989e-09
117,0,3.93125,0
118,0,2.98579,0
119,1,1.71282,1.71282
120,1,2.2361,1.77055e-08
121,1,2.6456,0.069834
122,1,6.1983,1.10957e-08
123,1,4.79539,4.79539
124,0,1.32151,0
125,1,0.373196,4.83195e-08
126,0,1.49394,0
127,1,6.27542,2.82637e-08
128,0,3.77746,0
129,1,5.49576,5.4063
130,0,2.77288,0
131,0,0.269101,0
132,1,5.19512,2.17852
133,0,2.71709,0
134,1,5.927,7.15919e-08
135,1,3.54039,6.3327e-08
136,1,3.71662,1.42934e-07
137,0,0.155011,0
138,1,2.84914,8.57128e-05
139,1,3.26976,0.000590218
140,0,3.88724,0
141,0,2.62981,0
142,0,0.510275,0
143,1,4.69378,2.5265
144,1,4.09817,7.17489e-08
145,0,2.99887,0
146,0,2.03802,0
147,0,4.11021,0
148,0,4.76681,0
149,1,2.83261,1.09351e-07
150,0,4.78097,0
151,1,3.9045,6.70557e-08
152,0,3.84388,0
153,0,4.77961,0
154,0,2.20451,0
155,1,4.6569,3.5443
156,1,0.552006,0.0253976
157,0,0.244952,0
158,0,2.55371,0
159,1,5.39738,2.51216
160,0,2.37432,0
161,0,8.53473,0
162,0,3.37779,0
163,0,0.10413,0
164,0,4.38244,0
165,1,6.80677,6.23409
166,0,0.0559805,0
167,0,4.61141,0
168,1,2.6566,2.6566
169,0,0.910492,0
170,1,2.01013,4.51942e-08
171,0,3.69878,0
172,0,1.37195,0
173,0,5.94121,0
174,1,6.66608,1.08745
175,0,0,0
176,0,3.62547,0
177,1,3.30056,0.000264104
178,0,3.87109,0
179,1,4.46341,3.85191
180,1,3.94685,3.94685
181,0,1.76108,0
182,1,2.66805,0.00779488
183,1,6.62868,1.99962
184,0,2.78338,0
185,0,1.68712,0
186,0,2.16286,0
187,1,3.50581,3.41371
188,0,1.70972,0
189,1,5.3995,2.08778e-07
190,0,5.53978,0
191,0,0.874267,0
192,1,4.40693,0.642324
193,0,0.453117,0
194,0,2.74371,0
195,0,4.93668,0
196,0,4.51695,0
197,1,4.3261,0.368537
198,0,7.44701,0
199,0,3.28333,0
200,1,6.66346,1.14446
201,1,2.80243,3.48564e-08
202,0,0,0
203,1,4.70076,0.0732048
204,1,1.03464,7.44159e-08
205,1,3.63461,0.0644526
206,1,2.60885,0.837718
207,1,3.47212,3.24118
208,1,4.67619,0.297554
209,1,0.636389,2.4979e-05
210,0,2.50116,0
211,1,0.356365,1.98159e-07
212,1,4.64543,4.64543
213,1,9.39157,2.13804
214,1,2.44383,0.0393226
215,0,1.74485,0
216,0,1.18235,0
217,1,1.44614,1.44614
218,1,4.28871,3.17364
219,0,0.627729,0
220,0,0.630191,0
221,0,0.979813,0
222,0,0.939194,0
223,0,3.91908,0
224,1,4.29543,3.19363
225,0,3.60661,0
226,1,2.93877,5.32089e-08
227,0,2.36758,0
228,0,1.92514,0
229,0,2.29334,0
230,1,3.72574,4.53092e-08
231,1,8.25547,4.70555
232,0,1.29801,0
233,1,5.17337,5.17337
234,0,0.906977,0
235,0,5.44982,0
236,1,3.30345,1.73523
237,0,3.67561,0
238,0,0.790346,0
239,1,5.66886,5.66886
240,1,0.115619,4.24194e-08
241,0,5.28225,0
242,0,4.01832,0
243,1,2.03912,3.96864e-08
244,1,4.87095,2.07609
245,1,1.3724,0.00108803
246,0,1.34543,0
247,0,5.41605,0
248,0,3.94276,0
249,1,4.86779,0.327102
250,0,0.482104,0
251,1,2.11195,0.164908
252,0,4.65301,0
253,1,6.14863,6.01174
