Event,Energy_Cinetica,Particle,TrackID,ParentID,parentid,startid,endid,Volume,Process
1,0,neutron,,,0,1,0,,
2,0,opticalphoton,,,0,0,0,,
2,0,neutron,,,1,2,2,,
15,0,opticalphoton,,,0,0,0,,
15,0,opticalphoton,,,1,2,2,,
57,0,opticalphoton,,,0,0,0,,
57,1,neutron,,,1,3,4,,
76,0,opticalphoton,,,0,0,0,,
76,0,neutron,,,1,2,2,,
292,0,opticalphoton,,,0,0,0,,
292,0,neutron,,,1,2,2,,
356,0,opticalphoton,,,0,0,0,,
356,0,neutron,,,1,2,2,,
856,0,opticalphoton,,,0,0,0,,
856,0,neutron,,,1,2,2,,
871,0,opticalphoton,,,0,0,0,,
871,0,neutron,,,1,2,2,,
877,0,opticalphoton,,,0,0,0,,
877,0,neutron,,,1,2,2,,
