Event,KE_e,x,y,z
1,9.6968,346.735,316.508,-515
2,6.41386,232.209,515,175.587
3,4.82464,253.88,-95.8711,215
4,1.49748,-515,176.868,-116.12
5,0.250899,-515,-489.37,-71.7042
6,4.77095,5.8072,199.3,-515
7,5.60866,476.12,21.7388,215
8,6.01944,515,-116.828,176.029
9,0.688882,-515,38.1456,-97.0258
10,4.8674,515,255.968,92.3155
11,1.51456,338.255,-515,-132.353
12,0.574476,-323.114,-515,-36.813
13,0.780779,273.623,-515,65.0136
14,1.06134,-83.882,515,123.507
15,6.15295,249.062,515,-121.217
16,5.95534,-5.63331,-182.72,215
17,5.19034,163.094,-106.275,215
18,4.40561,447.73,-487.68,-515
19,3.1076,-236.44,-158.536,-515
20,0.0506264,515,-170.43,-90.1085
21,4.96288,-289.667,515,-108.226
22,1.18944,-515,122.497,185.127
23,0.486741,-515,189.46,-274.866
24,6.13233,250.339,141.693,-515
25,0.882726,-515,73.6702,181.443
26,2.10463,515,302.929,-498.766
27,2.56456,-327.425,-515,-210.886
28,7.20258,454.064,-515,-405.93
29,6.0428,-286.574,-180.22,215
30,1.28804,-159.661,-79.6048,215
31,0.403953,281.991,21.1604,-515
32,1.02576,-515,68.7023,18.2538
33,6.74897,187.544,101.361,215
34,5.25159,515,-64.3363,-496.033
35,3.23481,158.415,216.566,-515
36,3.41864,-157.532,-515,-416.256
37,4.89092,-37.5509,202.395,-515
38,7.39428,515,129.428,-323.76
39,5.40919,515,122.067,-142.47
40,2.85256,-515,169.655,-53.2673
41,3.28965,183.699,-128.001,-515
42,1.93107,7.9821,-182.697,-515
43,5.06419,349.155,362.498,-515
44,3.69542,-305.056,-107.414,215
45,5.9319,-38.1034,-62.3504,215
46,3.05301,-416.949,-143.173,-515
47,6.53662,500.054,-309.681,-515
48,2.81198,176.963,189.907,215
49,1.68868,34.8756,515,-365.96
50,3.4166,263.758,473.553,-515
51,0.20169,-515,82.1094,88.3961
52,6.88721,-188.198,102.723,215
53,8.00991,-515,-273.25,158.797
54,2.49745,-436.137,-378.732,215
55,5.9072,-210.138,35.1992,-515
56,1.52581,-227.164,-515,76.3065
57,4.37852,64.1095,164.859,-515
58,3.50568,385.108,-212.287,-515
59,2.99878,-194.665,26.7782,-515
60,1.6741,-306.113,-515,40.3383
61,2.5744,208.972,61.4756,215
62,7.12121,515,189.027,-290.005
63,2.90271,515,50.6846,95.0368
64,5.40882,515,62.911,-295.597
65,0.336592,-515,53.8931,214.083
66,0.598833,-515,52.046,102.956
67,4.56636,515,310.133,-470.846
68,4.73701,-29.1602,36.4519,215
69,2.84456,-144.43,134.007,215
70,5.44281,-308.631,515,97.3465
71,6.51401,-215.284,515,137.56
72,6.74566,117.744,-515,-328.285
73,3.64503,393.291,-476.348,215
74,4.2101,-128.55,515,-319.261
75,6.83894,230.471,-29.9914,215
76,7.30058,515,255.379,-314.719
77,3.23697,50.7593,124.913,215
78,2.23399,336.931,173.485,215
79,5.11579,155.484,-441.473,215
80,3.43349,67.9241,72.6265,215
81,3.29292,-515,187.987,58.4181
82,3.66096,-111.843,-244.068,215
83,0.570266,-11.1377,515,-34.7536
84,5.19559,-94.2916,24.0479,215
85,0.328408,-341.257,515,-106.711
86,2.75664,5.97591,-122.369,215
87,5.41442,-224.426,160.268,-515
88,5.7571,106.72,268.924,-515
89,7.92463,81.8196,-515,-178.781
