Event,Hit,KE_i,KE_e
1,0,1.96848,0
2,0,0.604121,0
3,0,0.385081,0
4,0,0.517711,0
5,0,0.874817,0
6,0,0.976465,0
7,0,0.228173,0
8,0,0.886382,0
9,0,0.184279,0
10,0,1.06978,0
11,0,0.525276,0
12,0,0.70331,0
13,0,0.976703,0
14,0,0.298239,0
15,0,1.16569,0
16,0,1.01691,0
17,0,0.612764,0
18,0,0.802288,0
19,0,0.508672,0
20,0,0.786471,0
21,0,0.617246,0
22,0,0.753511,0
23,0,0.75557,0
24,0,0.482824,0
25,0,0.20325,0
26,0,0.532882,0
27,0,0.40516,0
28,0,0.681037,0
29,0,1.092,0
30,0,0.734877,0
31,0,0.141997,0
32,0,0.54066,0
33,0,0.397411,0
34,0,1.1655,0
35,0,0.0587727,0
36,0,0.799782,0
37,0,1.21093,0
38,0,0.537837,0
39,0,0.963998,0
40,0,0.32936,0
41,0,0.15452,0
42,0,0.761469,0
43,0,1.3298,0
44,0,0.635637,0
45,0,0.431811,0
46,0,0.477006,0
47,0,0.478027,0
48,0,1.29866,0
49,0,1.04003,0
50,0,0.214954,0
51,0,0.852998,0
52,0,0.51396,0
53,0,1.26973,0
54,0,0.222227,0
55,0,0.621092,0
56,0,0.752784,0
57,0,1.67609,0
58,1,1.07254,4.399e-08
59,0,0.397132,0
60,0,0.524845,0
61,0,0.0292926,0
62,0,0.653945,0
63,0,0.115214,0
64,0,0.762035,0
65,0,0.455864,0
66,0,0.716551,0
67,0,0.683859,0
68,0,0.357211,0
69,0,1.02961,0
70,0,0.952682,0
71,0,0.271958,0
72,0,0.939001,0
73,0,0.0414117,0
74,0,0.876091,0
75,0,0.728751,0
76,0,0.886041,0
77,0,1.42434,0
78,0,1.0304,0
79,0,0.427235,0
80,0,0.0454714,0
81,0,1.07499,0
82,0,0.684355,0
83,0,0.775574,0
84,0,0.465563,0
85,0,0.127642,0
86,0,0.497007,0
87,0,0.981421,0
88,0,1.38558,0
89,0,1.1896,0
90,0,1.22431,0
91,0,0.23559,0
92,0,1.39483,0
93,0,0.347656,0
94,0,0.342036,0
95,0,0.937519,0
96,0,0.225741,0
97,0,0.20604,0
98,0,0.926002,0
99,0,0.522776,0
100,0,0.435969,0
101,0,0.871853,0
102,0,0.71385,0
103,0,0.0101359,0
104,0,0.396578,0
105,0,0.421544,0
106,0,0.911828,0
107,0,0.972422,0
108,0,1.11223,0
109,0,0.602603,0
110,0,0.673203,0
111,0,0.726196,0
112,0,0.176857,0
113,0,1.07541,0
114,0,0.524943,0
115,0,1.23992,0
116,0,0.538289,0
117,0,1.19523,0
118,0,0.627976,0
119,0,0.809935,0
120,0,0.360578,0
121,0,0.0479125,0
122,0,0.183182,0
123,0,0.0315556,0
124,0,0.204606,0
125,0,0.209947,0
126,0,0.0475745,0
127,0,1.13313,0
128,0,0.426615,0
129,0,0.604614,0
130,0,0.182289,0
131,0,1.1794,0
132,0,1.25548,0
133,0,0.654304,0
134,0,1.14438,0
135,0,0.56945,0
136,0,0.0787622,0
137,0,0.978555,0
138,0,0.783671,0
139,0,1.17878,0
140,0,0.709434,0
141,0,0.385171,0
142,0,0.420576,0
143,0,1.10257,0
144,0,0.453825,0
145,0,1.19695,0
146,0,0.263122,0
147,0,0.425939,0
148,0,0.650017,0
149,0,1.46845,0
150,0,0.610915,0
151,0,1.07802,0
152,0,0.998485,0
153,0,0.679579,0
154,0,0.0360269,0
155,0,0.0449093,0
156,0,0.724432,0
157,0,1.12083,0
158,0,0.63595,0
159,0,0.773677,0
160,0,0.170068,0
161,0,1.00658,0
162,0,1.21735,0
163,0,1.02978,0
164,0,0.67211,0
165,0,1.32762,0
166,0,1.37404,0
167,0,0.44935,0
168,0,0.695749,0
169,0,0.181167,0
170,0,0.983616,0
171,0,0.556578,0
172,0,0.238193,0
173,0,0.758401,0
174,0,0.0622383,0
175,0,0.697458,0
176,0,0.0757658,0
177,0,1.69355,0
178,0,0.711907,0
179,0,0.0138055,0
180,0,0.528771,0
181,0,0.432506,0
182,0,1.13383,0
183,0,0.751595,0
184,0,0.400921,0
185,0,0.484571,0
186,0,0.62677,0
187,0,1.21067,0
188,0,0.808956,0
189,0,1.31201,0
190,0,0.577234,0
191,0,0.927607,0
192,0,0.141469,0
